########################################### ARQUIVO DE LOG DE TRATAMENTO DO RETORNO ###########################################
##  ARQUIVO COBST_IJPJ_02_130217P_MOV.TXT
##  Data 10/04/2017

00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00050393
00000 ## INCONSISTENTE ## NÃO ENCONTRADO NA BASE DE DADOS TITULO Nº 00050802
00000 ## INCONSISTENTE ## NÃO ENCONTRADO NA BASE DE DADOS TITULO Nº 00050803
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00050804
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00051339
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00051388
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00051605
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00052146
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00052380
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00052404
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00052464
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00052645
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00052669
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00052765
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00052901
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00053012
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00053167
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00053168
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00053298
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00053791
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00053821
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00053845
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00054136
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00054374
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00054501
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00054567
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00054640
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00054775
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00055100
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00055163
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00055188
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00055199
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00055394
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00055607
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00055653
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00055959
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00056246
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00056575
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00056635
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00056817
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00057146
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00057217
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00057254
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00057648
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00057794
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00058372
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00059033
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00059293
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00059315
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00059725
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00059736
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00060060
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00060371
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00060503
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00060624
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00060683
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00060718
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00060851
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00060960
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00060972
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00060984
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00061189
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00061309
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00061711
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00061844
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00062146
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00062220
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00062279
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00062315
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00062895
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00063417
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00063445
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00063738
