########################################### ARQUIVO DE LOG DE TRATAMENTO DO RETORNO ###########################################
##  ARQUIVO COBST_IJPJ_02_140217P_MOV.TXT
##  Data 10/04/2017

00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00051291
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00053249
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00053904
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00054266
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00054302
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00056079
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00057722
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00058652
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00058842
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00059058
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00059844
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00060180
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00061927
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00061939
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00062170
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00062871
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00062883
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00063228
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00063314
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00064067
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00064188
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00064277
