########################################### ARQUIVO DE LOG DE TRATAMENTO DO RETORNO ###########################################
##  ARQUIVO 3094_00327964_20170411_C400_00.ret
##  Data 11/04/2017

00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000000382
00000 ## COMPENSADO ## TITULO Nº 382 -  - 
00001 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000000600
00001 ## COMPENSADO ## TITULO Nº 600 -  - 
00002 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000000648
00002 ## COMPENSADO ## TITULO Nº 648 -  - 
00003 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000001935
00003 ## COMPENSADO ## TITULO Nº 1935 -  - 
00004 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000001947
00004 ## COMPENSADO ## TITULO Nº 1947 -  - 
00005 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000001971
00005 ## COMPENSADO ## TITULO Nº 1971 -  - 
00006 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000000344
00006 ## COMPENSADO ## TITULO Nº 344 -  - 
00007 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000000528
00007 ## COMPENSADO ## TITULO Nº 528 -  - 
00008 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000000612
00008 ## COMPENSADO ## TITULO Nº 612 -  - 
00009 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000001764
00009 ## COMPENSADO ## TITULO Nº 1764 -  - 
00010 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000001923
00010 ## COMPENSADO ## TITULO Nº 1923 -  - 
00011 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000000912
00011 ## COMPENSADO ## TITULO Nº 912 -  - 
00012 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000002211
00012 ## COMPENSADO ## TITULO Nº 2211 -  - 
00013 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000001080
00013 ## COMPENSADO ## TITULO Nº 1080 -  - 
00014 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000001584
00014 ## COMPENSADO ## TITULO Nº 1584 -  - 
00015 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000001632
00015 ## COMPENSADO ## TITULO Nº 1632 -  - 
00016 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000001264
00016 ## COMPENSADO ## TITULO Nº 1264 -  | PARCELA POSSUI PROCEDIMENTO. - 
00017 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000002623
00017 ## COMPENSADO ## TITULO Nº 2623 -  | PARCELA POSSUI PROCEDIMENTO. - 
00018 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000002626
00018 ## COMPENSADO ## TITULO Nº 2626 -  - 
00019 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000000176
00019 ## COMPENSADO ## TITULO Nº 176 -  - 
00020 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000000249
00020 ## COMPENSADO ## TITULO Nº 249 -  - 
00021 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000000285
00021 ## COMPENSADO ## TITULO Nº 285 -  - 
00022 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000000309
00022 ## COMPENSADO ## TITULO Nº 309 -  - 
00023 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000002259
00023 ## COMPENSADO ## TITULO Nº 2259 -  - 
00024 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000001488
00024 ## COMPENSADO ## TITULO Nº 1488 -  - 
00025 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000001548
00025 ## COMPENSADO ## TITULO Nº 1548 -  - 
00026 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000000406
00026 ## COMPENSADO ## TITULO Nº 406 -  - 
00027 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000000514
00027 ## COMPENSADO ## TITULO Nº 514 -  - 
00028 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000000888
00028 ## COMPENSADO ## TITULO Nº 888 -  - 
00029 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000002359
00029 ## COMPENSADO ## TITULO Nº 2359 -  - 
00030 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000001283
00030 ## COMPENSADO ## TITULO Nº 1283 -  | PARCELA POSSUI PROCEDIMENTO. - 
00031 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000002621
00031 ## COMPENSADO ## TITULO Nº 2621 -  - 
00032 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000002627
00032 ## COMPENSADO ## TITULO Nº 2627 -  - 
00033 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000000828
00033 ## COMPENSADO ## TITULO Nº 828 -  - 
00034 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000000840
00034 ## COMPENSADO ## TITULO Nº 840 -  - 
00035 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000002055
00035 ## COMPENSADO ## TITULO Nº 2055 -  - 
00036 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000002091
00036 ## COMPENSADO ## TITULO Nº 2091 -  - 
00037 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000002103
00037 ## COMPENSADO ## TITULO Nº 2103 -  - 
00038 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000000960
00038 ## COMPENSADO ## TITULO Nº 960 -  - 
00039 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000001995
00039 ## COMPENSADO ## TITULO Nº 1995 -  - 
