########################################### ARQUIVO DE LOG DE TRATAMENTO DO RETORNO ###########################################
##  ARQUIVO 3094_00327964_20170609_C400_00.ret
##  Data 12/06/2017

00000 ## COMPENSADO ## TITULO Nº 914 -  - 
00000 ## COMPENSADO ## TITULO Nº 806 -  - 
00000 ## BAIXA AUTOMATICA ## TITULO Nº 00000001280
00000 ## COMPENSADO ## TITULO Nº 456 -  - 
00000 ## COMPENSADO ## TITULO Nº 614 -  - 
00000 ## COMPENSADO ## TITULO Nº 1985 -  | PARCELA POSSUI PROCEDIMENTO. - 
00000 ## COMPENSADO ## TITULO Nº 1550 -  | PARCELA POSSUI PROCEDIMENTO. - 
00000 ## COMPENSADO ## TITULO Nº 1285 -  | PARCELA POSSUI PROCEDIMENTO. - 
00000 ## COMPENSADO ## TITULO Nº 2659 -  | PARCELA POSSUI PROCEDIMENTO. | PARCELA POSSUI PROCEDIMENTO. | PARCELA POSSUI PROCEDIMENTO. | PARCELA POSSUI PROCEDIMENTO. | PARCELA POSSUI PROCEDIMENTO. | PARCELA POSSUI PROCEDIMENTO. | PARCELA POSSUI PROCEDIMENTO. | PARCELA POSSUI PROCEDIMENTO. | PARCELA POSSUI PROCEDIMENTO. - 
00000 ## COMPENSADO ## TITULO Nº 1058 -  - 
00000 ## COMPENSADO ## TITULO Nº 1586 -  | PARCELA POSSUI PROCEDIMENTO. - 
00000 ## COMPENSADO ## TITULO Nº 2495 -  | PARCELA POSSUI PROCEDIMENTO. - 
