########################################### ARQUIVO DE LOG DE TRATAMENTO DO RETORNO ###########################################
##  ARQUIVO 3094_00327964_20170706_C400_00.ret
##  Data 06/07/2017

00001 ## COMPENSADO ## TITULO Nº 00000000373 -  - 
00002 ## COMPENSADO ## TITULO Nº 00000000192 -  - 
00003 ## COMPENSADO ## TITULO Nº 00000001467 -  | PARCELA POSSUI PROCEDIMENTO. - 
00004 ## COMPENSADO ## TITULO Nº 00000001854 -  | PARCELA POSSUI PROCEDIMENTO. - 
00005 ## COMPENSADO ## TITULO Nº 00000002682 -  | PARCELA POSSUI PROCEDIMENTO. | PARCELA POSSUI PROCEDIMENTO. | PARCELA POSSUI PROCEDIMENTO. | PARCELA POSSUI PROCEDIMENTO. | PARCELA POSSUI PROCEDIMENTO. | PARCELA POSSUI PROCEDIMENTO. | PARCELA POSSUI PROCEDIMENTO. | PARCELA POSSUI PROCEDIMENTO. | PARCELA POSSUI PROCEDIMENTO. - 
00006 ## COMPENSADO ## TITULO Nº 00000002226 -  - 
00007 ## COMPENSADO ## TITULO Nº 00000001914 -  | PARCELA POSSUI PROCEDIMENTO. - 
00008 ## COMPENSADO ## TITULO Nº 00000000699 -  - 
00009 ## COMPENSADO ## TITULO Nº 00000001503 -  | PARCELA POSSUI PROCEDIMENTO. - 
00010 ## COMPENSADO ## TITULO Nº 00000001215 -  - 
00011 ## COMPENSADO ## TITULO Nº 00000000252 -  - 
00012 ## COMPENSADO ## TITULO Nº 00000002250 -  - 
