########################################### ARQUIVO DE LOG DE TRATAMENTO DO RETORNO ###########################################
##  ARQUIVO 3094_00327964_20170405_C400_00.ret
##  Data 05/04/2017

00000 ## COMPENSADO ## TITULO Nº 1464 -  | PARCELA POSSUI PROCEDIMENTO. - 
00001 ## COMPENSADO ## TITULO Nº 1911 -  | PARCELA POSSUI PROCEDIMENTO. - 
00002 ## COMPENSADO ## TITULO Nº 1200 -  - 
00003 ## COMPENSADO ## TITULO Nº 1032 -  - 
00004 ## COMPENSADO ## TITULO Nº 1236 -  | PARCELA POSSUI PROCEDIMENTO. - 
00005 ## COMPENSADO ## TITULO Nº 454 -  - 
00006 ## COMPENSADO ## TITULO Nº 2247 -  - 
00007 ## COMPENSADO ## TITULO Nº 2127 -  | PARCELA POSSUI PROCEDIMENTO. - 
00008 ## COMPENSADO ## TITULO Nº 1404 -  | PARCELA POSSUI PROCEDIMENTO. - 
00009 ## COMPENSADO ## TITULO Nº 1068 -  - 
00010 ## COMPENSADO ## TITULO Nº 1536 -  | PARCELA POSSUI PROCEDIMENTO. - 
00011 ## COMPENSADO ## TITULO Nº 2139 -  | PARCELA POSSUI PROCEDIMENTO. - 
00012 ## COMPENSADO ## TITULO Nº 2271 -  - 
