########################################### ARQUIVO DE LOG DE TRATAMENTO DO RETORNO ###########################################
##  ARQUIVO 3094_00327964_20170606_C400_00.ret
##  Data 07/06/2017

00000 ## COMPENSADO ## TITULO Nº 758 -  - 
00000 ## COMPENSADO ## TITULO Nº 1973 -  | PARCELA POSSUI PROCEDIMENTO. - 
00000 ## COMPENSADO ## TITULO Nº 1406 -  | PARCELA POSSUI PROCEDIMENTO. - 
00000 ## COMPENSADO ## TITULO Nº 1082 -  - 
00000 ## COMPENSADO ## TITULO Nº 275 -  | PARCELA POSSUI PROCEDIMENTO. - 
00000 ## COMPENSADO ## TITULO Nº 986 -  | PARCELA POSSUI PROCEDIMENTO. - 
00000 ## COMPENSADO ## TITULO Nº 1598 -  | PARCELA POSSUI PROCEDIMENTO. - 
00000 ## COMPENSADO ## TITULO Nº 1538 -  | PARCELA POSSUI PROCEDIMENTO. - 
