########################################### ARQUIVO DE LOG DE TRATAMENTO DO RETORNO ###########################################
##  ARQUIVO 3094_00327964_20170711_C400_00.ret
##  Data 11/07/2017

00001 ## BAIXA AUTOMATICA PELO BANCO TITULO VENCIDO A MAIS DE 90 DIAS ## TITULO Nº 00000000415 ######  OK!
00002 ## BAIXA AUTOMATICA PELO BANCO TITULO VENCIDO A MAIS DE 90 DIAS ## TITULO Nº 00000000537 ######  OK!
00003 ## BAIXA AUTOMATICA PELO BANCO TITULO VENCIDO A MAIS DE 90 DIAS ## TITULO Nº 00000000681 ######  OK!
00004 ## SOLICITAÇÃO DE BAIXA CONFIRMADA ## TITULO Nº 00000000868-3
00005 ## SOLICITAÇÃO DE BAIXA CONFIRMADA ## TITULO Nº 00000000870-9
00006 ## BAIXA AUTOMATICA PELO BANCO TITULO VENCIDO A MAIS DE 90 DIAS ## TITULO Nº 00000001884 ######  OK!
00007 ## COMPENSADO ## TITULO Nº 00000001938 -  - 
00008 ## COMPENSADO ## TITULO Nº 00000001950 -  - 
00009 ## COMPENSADO ## TITULO Nº 00000002673 -  - 
00010 ## COMPENSADO ## TITULO Nº 00000002676 -  | PARCELA POSSUI PROCEDIMENTO. - 
00011 ## COMPENSADO ## TITULO Nº 00000002679 -  | PARCELA POSSUI PROCEDIMENTO. - 
00012 ## BAIXA AUTOMATICA PELO BANCO TITULO VENCIDO A MAIS DE 90 DIAS ## TITULO Nº 00000002304 ######  OK!
00013 ## SOLICITAÇÃO DE BAIXA CONFIRMADA ## TITULO Nº 00000000872-3
00014 ## COMPENSADO ## TITULO Nº 00000001707 -  - 
00015 ## BAIXA AUTOMATICA PELO BANCO TITULO VENCIDO A MAIS DE 90 DIAS ## TITULO Nº 00000001797 ######  OK!
00016 ## BAIXA AUTOMATICA PELO BANCO TITULO VENCIDO A MAIS DE 90 DIAS ## TITULO Nº 00000001860 ######  OK!
00017 ## COMPENSADO ## TITULO Nº 00000002678 -  | PARCELA POSSUI PROCEDIMENTO. | PARCELA POSSUI PROCEDIMENTO. - 
00018 ## COMPENSADO ## TITULO Nº 00000002680 -  - 
00019 ## BAIXA AUTOMATICA PELO BANCO TITULO VENCIDO A MAIS DE 90 DIAS ## TITULO Nº 00000000126 ######  OK!
00020 ## COMPENSADO ## TITULO Nº 00000000517 -  - 
00021 ## COMPENSADO ## TITULO Nº 00000000831 -  - 
00022 ## BAIXA AUTOMATICA PELO BANCO TITULO VENCIDO A MAIS DE 90 DIAS ## TITULO Nº 00000001413 ######  OK!
00023 ## COMPENSADO ## TITULO Nº 00000002274 -  - 
00024 ## BAIXA AUTOMATICA PELO BANCO TITULO VENCIDO A MAIS DE 90 DIAS ## TITULO Nº 00000002404 ######  OK!
00025 ## COMPENSADO ## TITULO Nº 00000001286 -  | PARCELA POSSUI PROCEDIMENTO. - 
00026 ## COMPENSADO ## TITULO Nº 00000001239 -  - 
00027 ## BAIXA AUTOMATICA PELO BANCO TITULO VENCIDO A MAIS DE 90 DIAS ## TITULO Nº 00000001737 ######  OK!
00028 ## SOLICITAÇÃO DE BAIXA CONFIRMADA ## TITULO Nº 00000000869-0
00029 ## SOLICITAÇÃO DE BAIXA CONFIRMADA ## TITULO Nº 00000000871-6
00030 ## COMPENSADO ## TITULO Nº 00000001167 -  - 
00031 ## BAIXA AUTOMATICA PELO BANCO TITULO VENCIDO A MAIS DE 90 DIAS ## TITULO Nº 00000001185 ######  OK!
00032 ## BAIXA AUTOMATICA PELO BANCO TITULO VENCIDO A MAIS DE 90 DIAS ## TITULO Nº 00000001896 ######  OK!
00033 ## BAIXA AUTOMATICA PELO BANCO TITULO VENCIDO A MAIS DE 90 DIAS ## TITULO Nº 00000002429 ######  OK!
00034 ## BAIXA AUTOMATICA PELO BANCO TITULO VENCIDO A MAIS DE 90 DIAS ## TITULO Nº 00000002478 ######  OK!
00035 ## BAIXA AUTOMATICA PELO BANCO TITULO VENCIDO A MAIS DE 90 DIAS ## TITULO Nº 00000000355 ######  OK!
00036 ## COMPENSADO ## TITULO Nº 00000002674 -  - 
00037 ## COMPENSADO ## TITULO Nº 00000002677 -  - 
00038 ## COMPENSADO ## TITULO Nº 00000002058 -  - 
00039 ## COMPENSADO ## TITULO Nº 00000002094 -  -  TITULO 00000002094 SACADO WYTALO APARECIDO MARTINS DE PAULA        NãO ENCONTRADO EM FATURAMENTOS.
00040 ## COMPENSADO ## TITULO Nº 00000002106 -  - 
00041 ## COMPENSADO ## TITULO Nº 00000002262 -  - 
00042 ## COMPENSADO ## TITULO Nº 00000000168 -  - 
00043 ## BAIXA AUTOMATICA PELO BANCO TITULO VENCIDO A MAIS DE 90 DIAS ## TITULO Nº 00000000114 ######  OK!
00044 ## COMPENSADO ## TITULO Nº 00000000457 -  - 
00045 ## BAIXA AUTOMATICA PELO BANCO TITULO VENCIDO A MAIS DE 90 DIAS ## TITULO Nº 00000000873 ######  OK!
00046 ## COMPENSADO ## TITULO Nº 00000000879 -  - 
00047 ## COMPENSADO ## TITULO Nº 00000000891 -  - 
00048 ## BAIXA AUTOMATICA PELO BANCO TITULO VENCIDO A MAIS DE 90 DIAS ## TITULO Nº 00000000765 ######  OK!
00049 ## BAIXA AUTOMATICA PELO BANCO TITULO VENCIDO A MAIS DE 90 DIAS ## TITULO Nº 00000001473 ######  OK!
00050 ## COMPENSADO ## TITULO Nº 00000001491 -  - 
00051 ## BAIXA AUTOMATICA PELO BANCO TITULO VENCIDO A MAIS DE 90 DIAS ## TITULO Nº 00000002196 ######  OK!
00052 ## COMPENSADO ## TITULO Nº 00000001599 -  - 
00053 ## COMPENSADO ## TITULO Nº 00000000963 -  - 
00054 ## BAIXA AUTOMATICA PELO BANCO TITULO VENCIDO A MAIS DE 90 DIAS ## TITULO Nº 00000002344 ######  OK!
00055 ## COMPENSADO ## TITULO Nº 00000002362 -  - 
00056 ## BAIXA AUTOMATICA PELO BANCO TITULO VENCIDO A MAIS DE 90 DIAS ## TITULO Nº 00000002423 ######  OK!
00057 ## COMPENSADO ## TITULO Nº 00000000288 -  - 
00058 ## COMPENSADO ## TITULO Nº 00000000385 -  - 
00059 ## BAIXA AUTOMATICA PELO BANCO TITULO VENCIDO A MAIS DE 90 DIAS ## TITULO Nº 00000000499 ######  OK!
00060 ## BAIXA AUTOMATICA PELO BANCO TITULO VENCIDO A MAIS DE 90 DIAS ## TITULO Nº 00000001569 ######  OK!
00061 ## COMPENSADO ## TITULO Nº 00000001587 -  - 
00062 ## COMPENSADO ## TITULO Nº 00000001635 -  - 
00063 ## COMPENSADO ## TITULO Nº 00000000915 -  - 
00064 ## BAIXA AUTOMATICA PELO BANCO TITULO VENCIDO A MAIS DE 90 DIAS ## TITULO Nº 00000000969 ######  OK!
00065 ## BAIXA AUTOMATICA PELO BANCO TITULO VENCIDO A MAIS DE 90 DIAS ## TITULO Nº 00000002148 ######  OK!
00066 ## COMPENSADO ## TITULO Nº 00000002214 -  - 
00067 ## BAIXA AUTOMATICA PELO BANCO TITULO VENCIDO A MAIS DE 90 DIAS ## TITULO Nº 00000001824 ######  OK!
00068 ## BAIXA AUTOMATICA PELO BANCO TITULO VENCIDO A MAIS DE 90 DIAS ## TITULO Nº 00000002428 ######  OK!
00069 ## BAIXA AUTOMATICA PELO BANCO TITULO VENCIDO A MAIS DE 90 DIAS ## TITULO Nº 00000002421 ######  OK!
00070 ## COMPENSADO ## TITULO Nº 00000001267 -  | PARCELA POSSUI PROCEDIMENTO. - 
00071 ## BAIXA AUTOMATICA PELO BANCO TITULO VENCIDO A MAIS DE 90 DIAS ## TITULO Nº 00000001029 ######  OK!
00072 ## BAIXA AUTOMATICA PELO BANCO TITULO VENCIDO A MAIS DE 90 DIAS ## TITULO Nº 00000001785 ######  OK!
00073 ## COMPENSADO ## TITULO Nº 00000001059 -  - 
00074 ## COMPENSADO ## TITULO Nº 00000001095 -  - 
00075 ## BAIXA AUTOMATICA PELO BANCO TITULO VENCIDO A MAIS DE 90 DIAS ## TITULO Nº 00000001713 ######  OK!
00076 ## BAIXA AUTOMATICA PELO BANCO TITULO VENCIDO A MAIS DE 90 DIAS ## TITULO Nº 00000000463 ######  OK!
00077 ## COMPENSADO ## TITULO Nº 00000002675 -  - 
00078 ## COMPENSADO ## TITULO Nº 00000002681 -  - 
00079 ## BAIXA AUTOMATICA PELO BANCO TITULO VENCIDO A MAIS DE 90 DIAS ## TITULO Nº 00000000222 ######  OK!
00080 ## COMPENSADO ## TITULO Nº 00000000240 -  - 
00081 ## BAIXA AUTOMATICA PELO BANCO TITULO VENCIDO A MAIS DE 90 DIAS ## TITULO Nº 00000000391 ######  OK!
00082 ## BAIXA AUTOMATICA PELO BANCO TITULO VENCIDO A MAIS DE 90 DIAS ## TITULO Nº 00000000885 ######  OK!
00083 ## BAIXA AUTOMATICA PELO BANCO TITULO VENCIDO A MAIS DE 90 DIAS ## TITULO Nº 00000000933 ######  OK!
00084 ## COMPENSADO ## TITULO Nº 00000000615 -  - 
00085 ## COMPENSADO ## TITULO Nº 00000000675 -  - 
00086 ## COMPENSADO ## TITULO Nº 00000000603 -  - 
00087 ## COMPENSADO ## TITULO Nº 00000001986 -  - 
00088 ## BAIXA AUTOMATICA PELO BANCO TITULO VENCIDO A MAIS DE 90 DIAS ## TITULO Nº 00000002332 ######  OK!
00089 ## COMPENSADO ## TITULO Nº 00000002496 -  - 
