########################################### ARQUIVO DE LOG DE TRATAMENTO DO RETORNO ###########################################
##  ARQUIVO 3094_00327964_20170602_C400_00.ret
##  Data 05/06/2017

00000 ## COMPENSADO ## TITULO Nº 1118 -  | PARCELA POSSUI PROCEDIMENTO. - 
00000 ## COMPENSADO ## TITULO Nº 1202 -  - 
00000 ## COMPENSADO ## TITULO Nº 1913 -  | PARCELA POSSUI PROCEDIMENTO. - 
00000 ## COMPENSADO ## TITULO Nº 662 -  | PARCELA POSSUI PROCEDIMENTO. - 
00000 ## COMPENSADO ## TITULO Nº 2141 -  | PARCELA POSSUI PROCEDIMENTO. - 
00000 ## COMPENSADO ## TITULO Nº 323 -  - 
00000 ## COMPENSADO ## TITULO Nº 698 -  - 
00000 ## COMPENSADO ## TITULO Nº 1466 -  | PARCELA POSSUI PROCEDIMENTO. - 
