########################################### ARQUIVO DE LOG DE TRATAMENTO DO RETORNO ###########################################
##  ARQUIVO 3094_00327964_20170310_C400_00.ret
##  Data 10/03/2017

00000 ## COMPENSADO ## TITULO Nº 236 -  - 
00001 ## COMPENSADO ## TITULO Nº 1067 -  - 
00002 ## COMPENSADO ## TITULO Nº 1775 -  | PARCELA POSSUI PROCEDIMENTO. - 
00003 ## COMPENSADO ## TITULO Nº 827 -  - 
00004 ## COMPENSADO ## TITULO Nº 2210 -  - 
00005 ## COMPENSADO ## TITULO Nº 2234 -  - 
00006 ## COMPENSADO ## TITULO Nº 1934 -  | PARCELA POSSUI PROCEDIMENTO. - 
00007 ## COMPENSADO ## TITULO Nº 1874 -  | PARCELA POSSUI PROCEDIMENTO. - 
00008 ## COMPENSADO ## TITULO Nº 1263 -  | PARCELA POSSUI PROCEDIMENTO. - 
00009 ## COMPENSADO ## TITULO Nº 599 -  - 
