########################################### ARQUIVO DE LOG DE TRATAMENTO DO RETORNO ###########################################
##  ARQUIVO 3094_00327964_20170410_C400_00.ret
##  Data 10/04/2017

00000 ## COMPENSADO ## TITULO Nº 792 -  - 
00001 ## COMPENSADO ## TITULO Nº 1875 -  | PARCELA POSSUI PROCEDIMENTO. - 
00002 ## COMPENSADO ## TITULO Nº 297 -  - 
00003 ## COMPENSADO ## TITULO Nº 2235 -  - 
00004 ## COMPENSADO ## TITULO Nº 672 -  - 
00005 ## COMPENSADO ## TITULO Nº 2019 -  | PARCELA POSSUI PROCEDIMENTO. - 
00006 ## COMPENSADO ## TITULO Nº 2517 -  | PARCELA POSSUI PROCEDIMENTO. - 
00007 ## COMPENSADO ## TITULO Nº 333 -  | PARCELA POSSUI PROCEDIMENTO. - 
00008 ## COMPENSADO ## TITULO Nº 900 -  | PARCELA POSSUI PROCEDIMENTO. - 
00009 ## COMPENSADO ## TITULO Nº 1620 -  | PARCELA POSSUI PROCEDIMENTO. - 
00010 ## COMPENSADO ## TITULO Nº 1692 -  | PARCELA POSSUI PROCEDIMENTO. - 
00011 ## COMPENSADO ## TITULO Nº 321 -  - 
00012 ## COMPENSADO ## TITULO Nº 189 -  - 
00013 ## COMPENSADO ## TITULO Nº 442 -  - 
00014 ## COMPENSADO ## TITULO Nº 744 -  - 
