########################################### ARQUIVO DE LOG DE TRATAMENTO DO RETORNO ###########################################
##  ARQUIVO 3094_00327964_20170608_C400_00.ret
##  Data 12/06/2017

00000 ## COMPENSADO ## TITULO Nº 1562 -  | PARCELA POSSUI PROCEDIMENTO. - 
00000 ## COMPENSADO ## TITULO Nº 1490 -  | PARCELA POSSUI PROCEDIMENTO. - 
00000 ## COMPENSADO ## TITULO Nº 2105 -  | PARCELA POSSUI PROCEDIMENTO. - 
00000 ## COMPENSADO ## TITULO Nº 2261 -  - 
00000 ## COMPENSADO ## TITULO Nº 1658 -  | PARCELA POSSUI PROCEDIMENTO. - 
00000 ## COMPENSADO ## TITULO Nº 830 -  - 
00000 ## COMPENSADO ## TITULO Nº 626 -  - 
00000 ## COMPENSADO ## TITULO Nº 602 -  - 
00000 ## COMPENSADO ## TITULO Nº 1094 -  - 
00000 ## COMPENSADO ## TITULO Nº 2643 -  | PARCELA POSSUI PROCEDIMENTO. - 
00000 ## COMPENSADO ## TITULO Nº 178 -  - 
00000 ## COMPENSADO ## TITULO Nº 1214 -  - 
