########################################### ARQUIVO DE LOG DE TRATAMENTO DO RETORNO ###########################################
##  ARQUIVO 3094_00327964_20170511_C400_00.ret
##  Data 11/05/2017

00000 ## COMPENSADO ## TITULO Nº 2272 -  - 
00001 ## COMPENSADO ## TITULO Nº 334 -  | PARCELA POSSUI PROCEDIMENTO. - 
00002 ## COMPENSADO ## TITULO Nº 901 -  | PARCELA POSSUI PROCEDIMENTO. - 
00003 ## COMPENSADO ## TITULO Nº 1693 -  | PARCELA POSSUI PROCEDIMENTO. - 
00004 ## COMPENSADO ## TITULO Nº 1765 -  | PARCELA POSSUI PROCEDIMENTO. - 
00005 ## COMPENSADO ## TITULO Nº 2200 -  | PARCELA POSSUI PROCEDIMENTO. - 
00006 ## COMPENSADO ## TITULO Nº 1057 -  - 
00007 ## COMPENSADO ## TITULO Nº 1621 -  | PARCELA POSSUI PROCEDIMENTO. - 
00008 ## COMPENSADO ## TITULO Nº 1265 -  | PARCELA POSSUI PROCEDIMENTO. - 
00009 ## COMPENSADO ## TITULO Nº 2637 -  | PARCELA POSSUI PROCEDIMENTO. - 
00010 ## COMPENSADO ## TITULO Nº 2640 -  | PARCELA POSSUI PROCEDIMENTO. | PARCELA POSSUI PROCEDIMENTO. | PARCELA POSSUI PROCEDIMENTO. | PARCELA POSSUI PROCEDIMENTO. | PARCELA POSSUI PROCEDIMENTO. | PARCELA POSSUI PROCEDIMENTO. | PARCELA POSSUI PROCEDIMENTO. | PARCELA POSSUI PROCEDIMENTO. | PARCELA POSSUI PROCEDIMENTO. - 
00011 ## COMPENSADO ## TITULO Nº 2104 -  | PARCELA POSSUI PROCEDIMENTO. - 
00012 ## COMPENSADO ## TITULO Nº 2224 -  - 
00013 ## COMPENSADO ## TITULO Nº 383 -  - 
00014 ## COMPENSADO ## TITULO Nº 214 -  - 
00015 ## COMPENSADO ## TITULO Nº 286 -  | PARCELA POSSUI PROCEDIMENTO. - 
00016 ## COMPENSADO ## TITULO Nº 1972 -  | PARCELA POSSUI PROCEDIMENTO. - 
00017 ## COMPENSADO ## TITULO Nº 1154 -  - 
00018 ## BAIXA AUTOMATICA ## TITULO Nº 00000000104
00019 ## COMPENSADO ## TITULO Nº 553 -  - 
00020 ## COMPENSADO ## TITULO Nº 601 -  - 
00021 ## COMPENSADO ## TITULO Nº 673 -  - 
00022 ## COMPENSADO ## TITULO Nº 1633 -  | PARCELA POSSUI PROCEDIMENTO. - 
00023 ## COMPENSADO ## TITULO Nº 2494 -  | PARCELA POSSUI PROCEDIMENTO. - 
