########################################### ARQUIVO DE LOG DE TRATAMENTO DO RETORNO ###########################################
##  ARQUIVO COBST_IJPJ_02_140317P_MOV.TXT
##  Data 10/04/2017

00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00050890
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00051292
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00052731
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00053108
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00053905
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00055764
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00056311
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00056312
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00056661
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00058653
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00058747
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00059221
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00059244
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00059279
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00059845
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00060086
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00060756
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00060961
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00061928
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00062171
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00062196
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00062591
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00064068
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00064278
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00066052
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00066110
