########################################### ARQUIVO DE LOG DE TRATAMENTO DO RETORNO ###########################################
##  ARQUIVO COBST_IJPJ_02_010317P_MOV.TXT
##  Data 10/04/2017

00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00050645
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00050669
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00052984
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00053154
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00055319
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00057303
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00059988
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00061201
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00061418
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00062471
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00064695
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00065615
