########################################### ARQUIVO DE LOG DE TRATAMENTO DO RETORNO ###########################################
##  ARQUIVO COBST_IJPJ_02_050417P_MOV.TXT
##  Data 10/04/2017

00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00052099
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00053571
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00053858
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00054316
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00055396
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00055847
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00055889
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00055960
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00055961
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00056323
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00056675
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00056758
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00056878
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00057412
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00057580
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00057760
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00059449
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00060002
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00060111
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00060211
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00060312
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00060998
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00061538
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00061990
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00062088
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00062136
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00062184
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00062222
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00062986
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00063023
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00063094
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00063105
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00064809
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00064930
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00065063
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00065412
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00065460
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00065604
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00065688
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00065748
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00066160
