########################################### ARQUIVO DE LOG DE TRATAMENTO DO RETORNO ###########################################
##  ARQUIVO COBST_IJPJ_02_020317P_MOV.TXT
##  Data 10/04/2017

00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00051521
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00052223
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00052501
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00053510
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00053545
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00053768
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00054037
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00054232
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00054687
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00054824
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00054840
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00054960
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00055644
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00056576
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00056948
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00056962
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00058096
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00058178
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00058252
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00058289
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00058818
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00058866
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00058926
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00059160
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00059411
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00059532
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00059773
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00060014
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00060311
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00060420
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00060660
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00061236
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00061296
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00061451
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00061773
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00062051
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00062221
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00062295
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00062770
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00063350
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00063853
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00064300
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00064493
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00064672
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00065076
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00065579
